plot_id,plt_cn,x,y,year,time,county_fips,county,fia_unit,fia_unit_name,forested,proportion_forested,nonsamp_prop,agb_live_mg_ha,agb_live_c_mg_ha,agb_dead_mg_ha,tcc_mean
3328,750082343290487,-1990271.7406728596,2898156.422520003,2021,2021.531506849315,53041,Lewis,7,Southwest,TRUE,1,0,244.67752468946327,125.98495683414991,38.21561734493513,71.86356353759766
3329,750082351290487,-2003347.6142048703,2908003.1398964254,2021,2021.6027397260275,53041,Lewis,7,Southwest,TRUE,1,0,84.93214672775046,43.12193632933059,0.7981605480176798,80.61341857910156
3330,750082358290487,-2066905.9868493634,2932186.671039869,2021,2021.6739726027397,53041,Lewis,7,Southwest,TRUE,1,0,0,0,4.82072797798983,70.90497589111328
3331,750082360290487,-1936811.4369170265,2894315.047829765,2021,2021.676712328767,53041,Lewis,7,Southwest,TRUE,0.978985,0.021015,69.2084739634213,35.66459384920859,0.7684712149362382,79.92896270751953
3332,750082376290487,-2012799.7537993602,2921844.4073328804,2021,2021.358904109589,53041,Lewis,7,Southwest,TRUE,1,0,51.48171504369086,26.564565015838777,0,74.85304260253906
3333,750082377290487,-1924693.469604119,2895998.6921144766,2021,2021.7671232876712,53041,Lewis,7,Southwest,TRUE,0.674675,0,263.743342709647,127.33547455658933,32.33636701280551,60.31949996948242
3334,750082385290487,-1989441.554344025,2917884.514715013,2021,2021.6876712328767,53041,Lewis,7,Southwest,TRUE,0.997457,0,589.2178429524105,303.7216044709864,41.01545233488343,57.481021881103516
3335,786780470290487,-1971628.4188876778,2873123.6335233175,2021,2021.490410958904,53041,Lewis,7,Southwest,TRUE,1,0,491.6975105234217,253.09299288753658,9.33118625713494,82.87046813964844
3336,786780472290487,-1949974.9466408542,2898023.317829057,2021,2021.7068493150684,53041,Lewis,7,Southwest,TRUE,1,0,136.76072023265544,70.42283554330987,0,78.462921142578125
3337,786780476290487,-1949027.1128386166,2872149.5542446915,2021,2021.482191780822,53041,Lewis,7,Southwest,TRUE,1,0,122.40691891333461,62.92320091846033,5.306160583892704,68.38557434082031
3338,786780505290487,-1982157.7024119343,2876222.628517053,2021,2021.4931506849316,53041,Lewis,7,Southwest,TRUE,1,0,911.1301257748922,469.00011657940587,33.189852798818606,82.16539001464844
3339,786780510290487,-1958011.6878681907,2880487.5503169848,2021,2021.7342465753425,53041,Lewis,7,Southwest,TRUE,1,0,531.3799405642102,266.88705241182964,33.53098305840373,72.29248046875
3340,786780515290487,-1956012.727520703,2896966.4765386055,2021,2021.704109589041,53041,Lewis,7,Southwest,TRUE,0.881412,0,181.80867246489075,90.61295010319286,51.32134949141235,77.92491912841797
3341,786780520290487,-1993997.7810512243,2913823.9820991037,2021,2021.6931506849314,53041,Lewis,7,Southwest,TRUE,1,0,513.596408967776,264.4685349944294,56.134635569153765,83.29206085205078
3342,786780541290487,-1964504.6902094502,2868175.391607886,2021,2021.695890410959,53041,Lewis,7,Southwest,TRUE,1,0,329.0637938323408,169.19367979911806,2.978051261454991,77.6671142578125
3343,786780555290487,-1942496.1300268308,2893125.106988583,2021,2021.490410958904,53041,Lewis,7,Southwest,TRUE,0.25,0.25,112.88275804549225,57.717308249403345,1.3328708670395082,62.42117691040039
3344,786780559290487,-1946395.0253960008,2871372.642367155,2021,2021.4794520547946,53041,Lewis,7,Southwest,TRUE,0.91065,0,427.8368335736676,219.6468965554578,3.9418174851826078,73.97163391113281
3345,750082309290487,-1994846.0532451419,2883794.516558227,2022,2022.3972602739725,53041,Lewis,7,Southwest,TRUE,1,0,120.79025438059867,61.97168822827307,3.9463522173332577,68.05302429199219
3346,750082319290487,-1940542.883133119,2874889.9368127286,2022,2022.6246575342466,53041,Lewis,7,Southwest,TRUE,1,0,103.0856303556743,50.58324506699294,0,54.82754135131836
3347,750082326290487,-2045214.996862945,2908740.5898967735,2022,2022.3534246575343,53041,Lewis,7,Southwest,FALSE,0,0,0,0,0,39.49095153808594
3348,750082327290487,-1952068.5941479858,2882994.645881355,2022,2022.4520547945206,53041,Lewis,7,Southwest,TRUE,0.675177,0.324823,235.60479400793668,120.3444600727171,27.3638963780806,81.1037826538086
3349,750082352290487,-1965076.1128433847,2897077.3214976615,2022,2022.5534246575342,53041,Lewis,7,Southwest,TRUE,1,0,420.8072060089106,210.03762445457158,43.64550305425331,76.33785247802734
3350,750082359290487,-1977420.7618348866,2902860.626300839,2022,2022.3945205479451,53041,Lewis,7,Southwest,TRUE,1,0,383.9732170329247,194.7556963993188,4.229395408507951,84.00202178955078
3351,750082368290487,-1952873.1845542865,2899044.1207485036,2022,2022.6082191780822,53041,Lewis,7,Southwest,TRUE,1,0,445.22006529267503,229.60626633429294,1.9731718152622524,80.87349700927734
3352,823110754290487,-2016505.5391507477,2883875.796153401,2022,2022.7534246575342,53041,Lewis,7,Southwest,TRUE,0.694272,0,121.88874953488306,59.61541345304313,0,76.787811279296875
3353,823110781290487,-2069077.7723948602,2909505.279122994,2022,2022.7342465753425,53041,Lewis,7,Southwest,TRUE,0.98401400000000006,0,0.13670130453456436,0.07053790473320186,0,55.36680603027344
3354,823110782290487,-2042527.896694927,2904477.53281853,2022,2022.6657534246576,53041,Lewis,7,Southwest,FALSE,0,0,0,0,0,32.752716064453125
3355,823110790290487,-2014974.1972884093,2900835.102416088,2022,2022.6657534246576,53041,Lewis,7,Southwest,FALSE,0,0,0,0,0,30.934938430786133
3356,823110800290487,-1989516.3586168687,2895925.5403820565,2022,2022.8191780821917,53041,Lewis,7,Southwest,TRUE,1,0,128.95980118541965,66.27223798965592,5.74364898745317,74.02886962890625
3357,823110807290487,-2051921.3180007257,2921281.1750479224,2022,2022.6657534246576,53041,Lewis,7,Southwest,FALSE,0,0,0,0,0,25.943859100341797
3358,823110848290487,-1964672.4260761763,2908245.864540641,2022,2022.6657534246576,53041,Lewis,7,Southwest,FALSE,0,0,0,0,0,71.76954650878906
3359,889751389290487,-1934489.2440516846,2890903.4641733347,2022,2022.6219178082192,53041,Lewis,7,Southwest,TRUE,1,0,398.26292179782934,202.36772420903642,39.192819040361215,74.99334716796875
3360,889751394290487,-1966588.3043943748,2880476.0660479553,2022,2022.5506849315068,53041,Lewis,7,Southwest,TRUE,0.997798,0,411.16559739170543,211.30417033251848,3.153827628158426,81.83638000488281
3361,889751412290487,-1952318.5431124906,2901729.5680736336,2022,2022.627397260274,53041,Lewis,7,Southwest,TRUE,0.851502,0,567.2683939604549,284.3903558503569,67.30326133339913,73.37732696533203
3362,889751425290487,-1991174.0255283231,2915272.136397879,2022,2022.7232876712328,53041,Lewis,7,Southwest,TRUE,0.886093,0.113907,554.6660210565195,283.87053997048497,5.098036862111412,80.47537994384766
3363,889751449290487,-1967924.4894702802,2873207.10045472,2022,2022.6465753424657,53041,Lewis,7,Southwest,TRUE,1,0,371.5373832041284,188.73497771461246,16.6003604125938,78.3174819946289
3364,889751457290487,-1956934.4474679574,2893934.2683548485,2022,2022.627397260274,53041,Lewis,7,Southwest,TRUE,1,0,58.85492228237346,29.950200033235742,0,80.98198699951172
3365,889751507290487,-1964784.0241131105,2905187.323528038,2022,2022.6301369863013,53041,Lewis,7,Southwest,TRUE,1,0,364.4591964873377,184.56624705885193,12.817876253221765,80.51519012451172
3366,889751539290487,-1959669.7371240219,2875148.454130355,2022,2022.5506849315068,53041,Lewis,7,Southwest,TRUE,1,0,274.3031011393041,141.3110582944558,17.254991730561038,78.80885314941406
3367,889751573290487,-1986099.299398234,2875324.656204094,2022,2022.7424657534248,53041,Lewis,7,Southwest,TRUE,1,0,382.5104155505518,193.56734887917057,62.20220264538205,82.81609344482422
3368,889751584290487,-1942847.0290469215,2864779.1103171604,2022,2022.7589041095891,53041,Lewis,7,Southwest,TRUE,1,0,471.60932739182863,242.98286495877846,13.020400532184071,76.472686767578125
3369,889751592290487,-1958919.5816811703,2886177.155046007,2022,2022.6328767123289,53041,Lewis,7,Southwest,FALSE,0,1,0,0,0,79.45585632324219
3370,889751593290487,-1949556.4116413717,2900821.6285943687,2022,2022.6246575342466,53041,Lewis,7,Southwest,TRUE,0.25,0.75,135.26917527416725,69.75533914157711,3.5224447068888187,78.43119049072266
